"id","question_id","knowledgecomponent_id"
239,56,22
240,56,23
241,38,16
242,39,13
243,39,14
246,41,13
247,41,14
248,42,18
249,43,19
250,44,18
326,17,10
251,57,29
252,66,34
253,66,20
399,71,35
401,72,29
1097,218,97
887,165,68
888,165,76
901,169,33
902,169,77
903,169,78
289,59,30
405,64,29
295,60,30
296,61,31
297,62,33
298,62,28
327,17,12
328,18,9
329,18,11
330,19,13
331,19,6
409,74,37
410,74,36
335,20,11
336,20,13
411,74,29
412,75,36
337,20,6
413,75,29
305,3,4
306,4,6
307,5,6
308,6,7
309,7,8
310,8,6
311,9,11
312,10,10
313,10,11
314,11,9
338,21,11
339,21,13
317,12,9
318,12,10
340,21,6
341,22,10
342,22,7
343,23,8
344,23,11
345,24,10
346,25,9
347,25,11
348,28,6
349,28,7
350,29,9
351,29,10
352,29,7
353,30,11
354,30,6
414,75,39
415,76,9
357,31,12
358,31,6
416,76,29
417,77,40
363,49,18
364,49,27
365,48,18
366,48,27
367,46,18
368,46,27
418,77,29
419,78,29
422,79,41
374,2,4
423,79,29
424,81,43
425,81,29
426,80,42
381,40,16
382,40,17
427,80,29
428,82,29
385,55,24
386,55,23
389,63,29
390,65,24
391,65,20
321,13,10
437,83,44
322,13,11
396,68,29
438,83,29
441,85,32
442,85,29
165,16,9
166,16,12
446,87,36
447,87,29
448,86,32
449,86,44
450,86,29
451,84,44
452,84,29
453,14,6
455,67,24
456,67,19
457,58,28
187,26,9
188,26,10
189,26,11
190,27,10
191,27,11
470,15,9
471,15,12
202,32,12
203,32,6
204,33,12
205,33,6
206,34,12
207,34,6
208,35,12
209,35,6
475,92,48
476,92,51
477,92,45
478,92,46
217,36,14
218,45,19
219,45,20
482,91,50
483,91,34
484,91,45
228,50,18
229,50,27
230,51,22
231,51,23
232,52,24
233,53,25
234,54,25
235,54,26
236,37,15
881,163,68
882,163,76
885,164,68
522,109,64
523,109,65
886,164,76
889,166,68
890,166,76
893,167,68
894,167,76
529,111,64
530,111,17
531,111,18
532,110,64
533,110,66
534,112,64
535,112,67
536,113,64
537,113,66
538,114,64
539,114,17
540,114,18
541,115,64
542,115,67
545,117,64
546,117,67
547,118,64
548,118,67
904,170,33
905,170,77
553,121,64
554,121,69
555,122,64
556,122,69
908,171,33
909,171,77
910,172,76
560,123,64
561,123,17
562,123,27
563,124,64
564,124,17
565,124,27
566,125,64
567,125,17
568,125,27
569,126,64
570,126,17
571,126,27
911,173,10
912,173,76
576,128,64
577,128,17
578,128,27
579,129,64
580,129,17
581,129,27
915,174,10
916,174,76
917,175,9
918,175,76
919,176,9
920,176,76
921,177,76
922,178,76
923,179,81
591,133,74
924,179,82
925,179,83
926,180,80
927,181,82
596,136,74
597,136,75
928,181,83
929,182,81
600,138,64
601,138,74
602,138,75
603,139,74
604,139,71
605,140,75
606,140,71
607,141,74
608,141,75
609,141,71
610,142,73
611,142,75
612,143,72
613,143,73
614,143,75
930,182,84
932,184,86
618,131,72
619,131,73
620,131,71
621,127,64
622,127,70
623,132,72
624,132,73
625,132,71
933,185,87
934,186,82
641,130,72
642,130,73
643,130,71
644,134,74
645,134,75
646,135,74
647,135,75
648,137,74
649,137,75
656,119,64
657,119,68
658,120,64
659,120,68
660,116,64
661,116,68
807,146,76
808,146,77
815,148,76
816,148,77
821,150,9
822,150,76
823,150,77
824,150,78
825,151,11
826,151,76
827,151,77
828,151,78
833,152,11
834,152,76
835,152,77
836,152,78
837,153,6
838,154,76
839,154,77
840,154,6
843,155,33
844,155,76
845,156,33
846,156,76
847,157,33
848,157,76
849,158,33
850,158,76
851,158,78
854,159,33
855,159,76
856,160,76
857,160,77
858,160,6
859,160,79
860,161,33
861,161,76
862,161,79
867,149,9
868,149,76
869,149,77
870,149,78
935,187,82
937,189,85
939,191,89
940,192,83
941,192,86
942,193,83
943,193,86
944,194,80
945,195,84
946,196,90
947,197,80
948,198,89
1098,219,91
1099,200,91
952,188,84
953,183,85
1100,162,33
1101,162,76
1102,162,77
1103,162,79
1104,147,76
1105,147,78
1115,100,57
1116,100,59
1121,103,57
980,201,93
1122,103,60
982,203,91
983,204,96
985,206,95
986,207,97
987,202,95
1129,95,16
1130,96,16
1132,98,52
1133,99,54
1134,99,55
1135,93,48
1136,93,45
1137,93,46
1138,94,48
1139,97,51
1140,101,58
1141,101,63
1142,102,49
1143,102,58
1144,104,58
1145,104,63
1146,105,49
1147,105,58
1148,106,16
1149,106,48
1150,106,46
1151,107,52
1152,108,48
1153,108,45
1154,108,46
1158,190,88
1161,168,33
1162,168,77
1163,168,78
1165,69,29
1166,70,29
1167,208,98
1168,208,95
1171,210,100
1043,211,93
1044,211,103
1045,212,91
1046,212,93
1047,212,102
1048,213,101
1049,213,93
1050,213,102
1051,213,103
1052,214,91
1172,210,95
1176,217,101
1177,205,95
1180,216,96
1181,47,18
1182,47,27
1183,209,99
1184,209,95
1185,73,37
1186,73,29
1187,73,38
1188,199,92
1189,199,93
1190,199,94
